*bruski	browbeat
ĉasto	chastity, purity
ĉastranĉilego	cutlass
ĉasvagi	to prowl
ĉasviando	game meat
ĉatnio	chutney
ĉatrio	chatri
ĉaĉadanco	cha-cha, chacha
ĉaĉao	cha-cha, chacha
ĉaŭ	ciao
ĉaŭo	chow, chow chow
ĉaŭĉaŭo	chow, chow chow
ĉe	at, beside, with / at (house of), beside, with
ĉe la fino de la vico	at the end of the line
ĉe la freŝa faro	in the act, red-handed
ĉe la komenco de	at the start of
ĉe la mezo	in the middle
ĉe la penso ke	at the thought that
ĉe la reto	on the (inter)net
ĉe la sojlo de	on the brink of
ĉe la unua ekvido	at first sight
ĉe nia sojlo	on our doorstep
ĉe sia posteno	at one’s post
ĉe tiuj vortoj	at those words
ĉe unu ekstremaĵo	at one end
ĉe vas	(ĉe vi) to at your house
ĉe vi	to at your house
ĉe ĉiuj stratanguloj	on every street corner
ĉe-laga	lakeside
ĉebeko	xebec
ĉediga	in a dike, dike
ĉedorse	at one’s back
ĉeestado	presence
ĉeestanta	present
ĉeestantaro	those present
ĉeestanto	present one
ĉeesti	to attend, be present, witness
ĉeesti festenon	to attend a party, feast
ĉeesto	attendance, presence
ĉef-	arch-, chief-
ĉefa	chief, main, major, principal / main, major, master, primary, cardinal, chief, principal, premier
ĉefa avantaĝo	key benefit
ĉefa bufro	primary buffer
ĉefa celo	main goal
ĉefa celo de firmao	core business
ĉefa celoj	(ĉefa celo) main goal
ĉefa celojn	(ĉefa celo) main goal
ĉefa celon	(ĉefa celo) main goal
ĉefa datumbazo	primary database
ĉefa diagonalo	main diagonal
ĉefa disko	primary disk
ĉefa dokumento	main document, master document
ĉefa elemento	key component
ĉefa enkursigilo	backbone router, designated router
ĉefa etikedo	header label
ĉefa formularo	main form
ĉefa indekso	main index
ĉefa kadro	key frame
ĉefa kalendaro	primary calendar
ĉefa kliento	primary client computer
ĉefa komputilo	mainframe, main computer, master computer
ĉefa memoro	main store
ĉefa menuo	main menu
ĉefa musbutono	primary mouse button
ĉefa ordo	primary order
ĉefa pasvorto	master password
ĉefa planado	master planning, master scheduling
ĉefa preleganto	keynote speaker
ĉefa produkto	flagship product
ĉefa programo	main program
ĉefa projekto	parent project
ĉefa servilo	master server
ĉefa teksto	main body, main text
ĉefa uzanto	main user
ĉefa ŝargodosiero	master boot record
ĉefa ŝlosilo	master key
ĉefabato	prior (title)
ĉefafero	main point
ĉefakcento	main accent
ĉefanĝelo	archangel
ĉefartikolo	leading article
ĉefaĵo	main thing, main idea, important thing
ĉefbaziliko	archbasilica
ĉefbendo	master tape
ĉefcelo	main purpose, main goal
ĉefcirklo	great circle
ĉefdekoracio	centerpiece
ĉefdelegito	chief delegate
ĉefdiagonalo	main diagonal
ĉefdiakona	archdiaconal
ĉefdiakono	archdeacon
ĉefdioceza	archdiocesan
ĉefdiocezo	archdiocese
ĉefdosiero	master file
ĉefdosierujo	home directory
ĉefdosierujoj	home directories
ĉefduka	archducal
ĉefdukejo	archduchy, archdukedom
ĉefdukino	archduchess
ĉefduklando	archduchy
ĉefduklandoj	archduchies
ĉefduko	archduke
ĉefe	chiefly
ĉefeligujo	standard output
ĉefenigo	standard input
ĉefenigujo	standard input
ĉefenirejo	main entrance
ĉefepiskopa	archiepiscopal
ĉefepiskopejo	archbishopric, archepiscopality
ĉefepiskoplando	archbishopric
ĉefepiskopo	archbishop
ĉefepiskopujo	archbishopric, archiepiscopat
ĉeferarujo	standard error
ĉeffripono	archfiend
ĉefgeneralo	commander in chief, generalissimo, supreme commander
ĉefgitaristo	lead guitarist
ĉefherezulo	arch-heretic
ĉefi	to lead, be the boss of
ĉefideala	principal ideal (ring)
ĉefindekso	main index, master index, primary index
ĉefinstalado	master installation
ĉefinstiginto	mastermind
ĉefkantisto	lead singer
ĉefkarto	backplane, motherboard
ĉefkasisto	archtreasurer
ĉefkomercaĵo	chief trade good
ĉefkomputilo	host, host computer, mainframe
ĉefkonsulo	consul general
ĉefkuiristo	chef
ĉeflibro	main book
ĉeflitero	capital letter, initial (letter)
ĉeflumo	main light
ĉefmago	archimage, archimagus
ĉefmanĝo	dinner
ĉefmarŝalo	archmarshal
ĉefmasto	mainmast, maintop
ĉefmastro	primary master
ĉefmatroso	boatswain
ĉefmemora disko	RAM disk
ĉefmemoro	main store, primary memory, primary storage, core memory
ĉefministrejo	chancellery
ĉefministro	premier, prime minister
ĉefo	chief, boss / boss, chief, leader, headman, chieftain
ĉefoficejo	headquarters, head office
ĉeforgano	central processing unit, CPU, mainframe
ĉefornamaĵo	centerpiece
ĉefparte	for the greater part, for the most part
ĉefparto	body
ĉefpastro	hierarch, high priest, pontiff
ĉefpaĝo	front page, master page, home page, welcome page
ĉefpersono	chief person, main character
ĉefplado	main course
ĉefpordo	main door
ĉefpresbitero	archpriest
ĉefprimaso	archprimate
ĉefprinco	grand duke, grand prince
ĉefprocesora prioritata vicigilo	CPU-scheduler
ĉefprocesoro	central processing unit, central processor, CPU
ĉefprocezilo	CPU, central processing unit, central processor
ĉefprogramo	main program
ĉefpulso	downbeat
ĉefpunkto geografia	cardinal point
ĉefredaktoro	editor in chief
ĉefregistrumo	CAP shift
ĉefreto	backbone
ĉefretregiono	top level domain
ĉefreĝimo	major mode
ĉefrolanto	star
ĉefroli	to feature, star
ĉefroligi	to star
ĉefrolulino	leading actress
ĉefrolulo	protagonist / main character
ĉefservisto	butler
ĉefsidejo	headquarters
ĉefstacidomo	main station
ĉefstrato	main street
ĉefsubdisko	primary partition
ĉefsubtenantilo	mainstay
ĉefsubtenanto	mainstay
ĉeftablo	head table
ĉeftabulo	motherboard
ĉefteksto	main body, main text
ĉeftemo	main theme
ĉeftendenca	mainline
ĉeftermino	keyword
ĉeftero	mainland
ĉeftitolo	headline / main title
ĉeftrabo	supporting beam
ĉefturo	keep (castle); main tower
ĉefulo	head, chief, boss
ĉefurbo	capital, capital city, metropolis / capital (city), metropolis
ĉefurboj	capitals, capital cities, metropolises
ĉefurboteritorio	capital territory
ĉefurboteritorioj	capital territories
ĉefuzanto	root (user), superuser
ĉefvelo	main sail
ĉefverbo	main verb
ĉefverko	masterpiece / main work
ĉefvojo	major road
ĉefvorto	keyword
ĉefĉeno	backbone
ĉefŝaltilo	main switch
ĉefŝlosilo	primary key
ĉefŝlosiloj	primary keys
ĉefŝtono	keystone
ĉekamene	at the fireside, by the hearth
ĉekaro	cheque-book / checkbook
ĉekastela	at a castle, at the castle
ĉeklibro	check-book
ĉeko	check, cheque
ĉekomputila	at the computer, hands-on
ĉekomputila trejnado	hands-on training
ĉela	cellular
ĉeladreso	cell reference
ĉelaro	honeycomb
ĉelatributoj	cell attributes
ĉeldividiĝo	cell division
ĉelemajlo	cloisonné
ĉelenergia	cell-powered
ĉelenhavo	cell content
ĉelime	at the limit
ĉelintervalo	cell range
ĉelita	bedside
ĉelite	at the bedside
ĉelito	cellulitis
ĉelo	cell
ĉeloplasmo	cytoplasm
ĉeltelefono	cellphone
ĉelveturilo	paddy wagon
ĉemane	at hand, handy, in one’s hand
ĉemeti	to concatenate
ĉemeto	concatenation, catenation
ĉemizeto	tank top, sleeveless shirt, singlet, small shirt
ĉemizino	blouse
ĉemizo	chemise, shirt
ĉena esprimo	string expression
ĉena frakcio	continued fraction
ĉena limigilo	string delimiter
ĉenbutiko	chain store
ĉene	by chain, in chains
ĉenero	link (in a chain)
ĉeneto	chain
ĉenfinilo	string terminator
ĉenformularo	continuous form(s)
ĉenfrakcio	continued fraction
ĉenfumado	chain smoking / chain-smoking
ĉenhundo	guard dog, dog on a chain
ĉeni	to chain
ĉeniljo	chenille
ĉenlaboro	assembly line work
ĉenletero	chain letter
ĉenligata	chained, bound in chains
ĉenligi	to bind in chains, chain (someone)
ĉenligita	chained, bound in chains
ĉeno	chain
ĉenpresilo	chain printer
ĉenprintilo	chain printer
ĉenringo	link
ĉenringoj	chainrings
ĉensegilo	chainsaw
ĉenstablo	assembly line
ĉenujo	chain-guard, gear-case
ĉepobe	abaft
ĉeranda	edge (network)
ĉeranda reto	edge network
ĉerizarbo	cherry-tree
ĉerizarboj	cherry trees
ĉerizo	cherry
ĉerizoj	cherries
ĉerizujo	cherry-tree
ĉerka	sepulchral
ĉerko	coffin
ĉerkokovrilo	pall
ĉerkoportilo	bier
ĉerkveturilo	hearse
ĉeroka	Cherokee
ĉerpado	bailing
ĉerpaĵo	bucketful / extract
ĉerpeto	spoonful
ĉerpi	to bail, draw (water), excerpt, extract, spoon
ĉerpi akvon	to draw water
ĉerpilo	dipper
ĉerpkulero	ladle
ĉerpo	extraction
ĉervonco	chervonets
ĉesado	cessation
ĉesi	cease, stop
ĉesigi	to abort, kill, stop
ĉesigi malamikecon	to create hostilities
ĉesigo	kill (statement), abort, stop
ĉeso	break
ĉesrefuta	refuting any inclination to stop
ĉestro	Chester
ĉetable	at the table
ĉetabliĝi	to draw up to the table, sit down to table
ĉevala	equestrian, horse, horse-, of a horse
ĉevala neĝplugilo	horse-drawn snowplow
ĉevalaro	stud
ĉevalaĵo	horsemeat
ĉevalbastono	hobby-horse
ĉevalbleketo	whinny
ĉevalbleki	to neigh
ĉevalbredejo	studfarm / stud farm
ĉevaldente	horse-toothed
ĉevaldresisto	horsebreaker
ĉevalejo	corral, stable
ĉevalestro	riding-master
ĉevaleto	hobbyhorse, pony / pony; pastime
ĉevaletoj	ponies; pastimes
ĉevalforto	horsepower
ĉevalidino	filly
ĉevalido	colt, foal, filly
ĉevalidoino	foal
ĉevalino	mare
ĉevalisto	groom, stableman
ĉevalistoj	grooms, stable workers, stablemen
ĉevalkaleŝo	horse-drawn carriage
ĉevalkaŝtano	buckeye, horse-chestnut
ĉevalo	horse
ĉevalpiedo	coltsfoot
ĉevalpovo	horsepower
ĉevalrajda	equestrian
ĉevalrajdantino	horsewoman, lady equestrian
ĉevalrajdanto	horseback rider
ĉevaltrio	team of three horses
ĉevalvetkuro	horse race (with betting)
ĉevalvetkuroj	horse races (with betting)
ĉevalviro	stallion
ĉevalvojo	bridle path
ĉevalvosta	ponytail (hair)
ĉevalvosto	ponytail (hair)
ĉevalŝanĝo	relay (horses)
ĉevoste	one one’s tail, at one’s tail, behind
ĉevrono	chevron, rafter, support beam
ĉeĉena	Chechen
ĉeĉenio	Chechenia
ĉeĉeno	Chechen
ĉeĉenoj	Chechens
ĉeĉenujo	Chechenia
ĉeĥa	Czech
ĉeĥino	Czech woman
ĉeĥio	Czech Republic
ĉeĥo	Czech
ĉeĥoslovaka	Czechoslovak, Czechoslovakian
ĉeĥoslovakino	Czech woman
ĉeĥoslovakio	Czechoslovakia
ĉeĥoslovako	Czechoslovak, Czechoslovakian
ĉeĥoslovakujo	Czechoslovakia
ĉeĥujo	Czech Republic
ĉi	here (denotes proximity)
ĉi tie	here
ĉi tien	here, hither, this way
ĉi tio	these, this, this here
ĉi tiu	the latter, this one
ĉi tiuj	these
ĉi tiun nokton	tonight
ĉi-foje	this time
ĉi-hore	at this hour, at this time
ĉi-kaze	in this case / in that event
ĉi-kune	attached (to this), herewith
ĉi-kuntekste	in this context
ĉi-momente	at this moment
ĉi-suba	below
ĉi-sube	below
ĉi-supra	above (here)
ĉi-supre	above
ĉi-tage	today
ĉi-transen	across to this side
ĉi-vespere	this evening
ĉia	all, every kind of
ĉiaforme	in all forms, of all shapes
ĉiaforme elpenseble	of all imaginable shapes
ĉiaj aĵoj	all sorts of things
ĉial	for every reason
ĉiam	all the time, always, ever
ĉiam batadi la saman amboson	to always harp on the same string
ĉiam pli densaj	denser and denser
ĉiam plu	more and more
ĉiama	everlasting
ĉiamdaŭra	eternal, everlasting, perpetual
ĉiamdaŭre	eternally, everlastingly, perpetually
ĉiame	of all times, at all times
ĉiameco	permanence
ĉiamjuna	ever young
ĉiampreta	ever-ready
ĉiamverda	evergreen
ĉiamvidebligi	to always be on top
ĉiaokaze	in all (kinds of) cases, in any event
ĉiapreze	at any price
ĉiaspeca	all kinds of
ĉiaspekta	of all kinds, all kinds of
ĉiavetera	all-weather
ĉie	all about, everywhere
ĉie densa	everywhere dense (subset)
ĉie en la	all over the, throughout the
ĉie ĉirkaŭe	all around
ĉiea	omnipresent
ĉiea funkcio	total function
ĉieesta	omnipresent, ubiquitous
ĉieestado	omnipresence
ĉieesto	omnipresence, ubiquity
ĉiekonata	universally known, well-known
ĉiel	every manner, every way, in every way
ĉiela	celestial, heavenly
ĉiela sfero	heavenly sphere
ĉielarbo	tree of heaven
ĉielarka emberizo	painted bunting
ĉielarko	rainbow
ĉielblua	sky blue
ĉielbluo	sky blue
ĉiele	heavenly
ĉielece	like heaven
ĉielen	towards heaven, upwards
ĉielenpremo	assumption
ĉielertulo	handy person, handyman, helper, factotum, jack-of-all-trades
ĉielglora	heavenly
ĉieliro	ascension, assumption
ĉielirtago	Ascension Day
ĉielkorpo	celestial body, heavenly body, star
ĉielluma	skylight
ĉielo	heaven, sky
ĉieloj	skies, heavens
ĉielosfero	coelosphere
ĉielruĝo	aurora
ĉielskrapanto	skyscraper
ĉielskrapulo	skyscraper
ĉies	everyone's / everyone’s
ĉiesaĵo	freeware, something which everyone can use, something in the public domain
ĉiesulino	hooker, prostitute, whore
ĉiesvoĉa	unanimous
ĉiesvoĉe	unanimously
ĉifaĵo	wad
ĉifbulo	wad
ĉifi	crease, crumble
ĉifona	ragged
ĉifonaĵo	tatter
ĉifoneco	shabbiness
ĉifonfiguro	scarecrow
ĉifonisto	ragpicker / ragman, rag picker
ĉifonkolektisto	ragpicker
ĉifono	rag, scrap
ĉifonujo	chiffonier
ĉifonulo	ragamuffin
ĉifrado	encryption
ĉifri	to cipher, encipher, encrypt, encode
ĉifrita teksto	ciphertext
ĉifrita ŝlosilo	encrypted key
ĉifritaj	encrypted
ĉifritaj datumoj	encrypted data
ĉifro	code, secret code
ĉifroŝlosila	encryption key
ĉifroŝlosilo	encryption key
ĉifĉafo	chiff-chaff
ĉigongo	chi gong, qigong
ĉijara	this year’s
ĉijare	this year
ĉikagano	Chicagan, Chicagoan / Chicagoan, Chicagan
ĉikago	Chicago
ĉikanado	hair-splitting
ĉikanema	censorious
ĉikanemo	censoriousness
ĉikaneti	to carp
ĉikaneto	quibble, trifle
ĉikani	carp at, haze, quibble / to nit-pick, quibble, split hairs, badger, bait, bully
ĉikano	quibble
ĉikanulo	hair-splitter, niggler, nit-picker / hair-splitter, nit-picker
ĉiko	chigger, jigger, sand flee
ĉikune	herewith
ĉilia	Chilean
ĉilianino	Chilean woman
ĉiliano	Chilean
ĉilianoj	Chileans
ĉilio	Chile
ĉilo	chyle
ĉimo	chyme, chymus
ĉimomente	at the moment, at this moment
ĉimpanzo	chimpanzee
ĉina	Chinese
ĉina Novjaro	Chinese New Year
ĉina inko	Indian ink
ĉina lingvo	Chinese, Chinese language
ĉinio	China
ĉino	Chinese
ĉinokte	tonight
ĉinologio	sinology
ĉinologo	sinologist
ĉinujano	Chinese (citizen)
ĉinujo	China
ĉinĉilo	chinchilla
ĉio	all, altogether, everything
ĉio siatempe	everything in (good, it’s own) time
ĉio ĉas	(ĉio ĉi) all of this
ĉio ĉi	all of this
ĉio-en-unu	all-in-one
ĉiofaranta	almighty
ĉiofaranto	jack of all trades
ĉiofarulo	busy-body
ĉiofaruloj	handy people, handymen, helpers, factotums, jacks-of-all-trades
ĉiokapabla	all-round
ĉiokaze	in any event
ĉiom	all, all of it
ĉioma	full-scale, total
ĉiomjare	all the years
ĉion inkluzivanta	all-encompassing, blanket
ĉioninkluda	across the board
ĉionpova	almighty, omnipotent
ĉionpove	almightily, omnipotently
ĉionriskema	desperate, frantic
ĉionriskeme	desperately, frantically
ĉionriskemo	desperation
ĉionsciado	omniscience
ĉiopardona	all-forgiving
ĉiopermesa	permissive
ĉiopermese	permissively
ĉiopotenca	all powerful, almighty
ĉiopova	almighty, all-powerful, omnipotent
ĉiopove	almightily, all-powerfully
ĉiopoveco	omnipotence
ĉiopovo	omnipotence
ĉioscia	all-knowing, omniscient
ĉiosciulo	wiseacre
ĉiotaŭga	all-purpose
ĉiovendejo	bazaar
ĉiovida	all-seeing
ĉipa	cheap, inexpensive
ĉipe	cheaply
ĉipo	chip
ĉipso	crisp, potato chip
ĉipsoj	chips, potato chips, crisps
ĉirkaŭ	about, round, around, towards
ĉirkaŭ la mateno	around morning
ĉirkaŭ sia sepdeka jaro	in one’s seventies
ĉirkaŭa	ambient, surrounding, neighboring
ĉirkaŭa sono	surround sound
ĉirkaŭantaro	attendants
ĉirkaŭaĵa	ambient
ĉirkaŭaĵa variablo	environment variable
ĉirkaŭaĵo	environment, environs, surroundings
ĉirkaŭaĵo de uzanto	user environment
ĉirkaŭaĵoj	surroundings
ĉirkaŭbarejo	corral, enclosure
ĉirkaŭbari	fence off
ĉirkaŭbraki	to embrace, hug
ĉirkaŭbrako	armlet, bracelet
ĉirkaŭdigi	to embank
ĉirkaŭe	about, around, roundabout, thereabout, thereabouts
ĉirkaŭe de	around
ĉirkaŭejo	environment, environs, lap, neighborhood, surroundings
ĉirkaŭen	around
ĉirkaŭfermi	to enclose
ĉirkaŭflirti	to flutter around, fly around
ĉirkaŭflua konduto	wrapping behavior
ĉirkaŭflugi	to fly around
ĉirkaŭflui	to flow around
ĉirkaŭfortikaĵo	encircling fortifications, investment (military), circumvallation and contravallation
ĉirkaŭfrazo	circumlocution, paraphrase
ĉirkaŭhaki	to lop, prune, trim (shape by cutting around the edges)
ĉirkaŭi	to beset, encompass, surround
ĉirkaŭigi	to pass around, surround
ĉirkaŭiri	to circulate, circumvent, go around
ĉirkaŭkaprioli	to frolic about
ĉirkaŭkolo	collar
ĉirkaŭkovri	to envelop, surround, wrap up
ĉirkaŭkudri	to sew around
ĉirkaŭkuri	to run around
ĉirkaŭligaĵo	bandage
ĉirkaŭligi	to garrote
ĉirkaŭligo	band, restraint
ĉirkaŭlimi	to surround
ĉirkaŭmano	bracelet
ĉirkaŭmetro	perimeter
ĉirkaŭmezuro	circumference, perimeter
ĉirkaŭmurigi	to wall
ĉirkaŭmuro	surrounding wall
ĉirkaŭnaĝi	to swim around
ĉirkaŭo	circuit, circumference, periphery
ĉirkaŭpalpi	to fumble
ĉirkaŭparoli	to beat about the bush
ĉirkaŭplekti	to twine around
ĉirkaŭpremi	to embrace, hug
ĉirkaŭprenegi	to hug
ĉirkaŭpreni	to embrace, hug
ĉirkaŭpreno	embrace
ĉirkaŭrajdi	to ride around
ĉirkaŭrando	brim
ĉirkaŭrigardegi	to stare all around
ĉirkaŭrigardi	to look all around
ĉirkaŭrigardi ĉiuflanken	to look around in all directions
ĉirkaŭsieĝi	to blockade, blockage
ĉirkaŭskribi	to circumscribe
ĉirkaŭskribita	circumscribed
ĉirkaŭstaranto	bystanders, people standing around
ĉirkaŭstari	to stand around
ĉirkaŭteksta	contextual
ĉirkaŭteksta literumado	contextual spelling
ĉirkaŭteksta serĉo	contextual search
ĉirkaŭteksto	context
ĉirkaŭtranĉi	to trim
ĉirkaŭumi	to encircle, round up
ĉirkaŭumo	encirclement, round up
ĉirkaŭurbo	suburbs
ĉirkaŭvagadi	to wander around
ĉirkaŭvagi	to roam around
ĉirkaŭvena sono	surround sound
ĉirkaŭveturi	to drive around
ĉirkaŭvojo	roundabout way
ĉirkaŭvojoj	roundabout ways
ĉirkaŭvolvi	to wind, wrap
ĉirkaŭzoni	to belt
ĉirkaŭĉizi	to chip, chip off
ĉirkaŭŝvebi	to float around
ĉiro	tendril, runner
ĉirpa	squeaky, strident
ĉirpi	to chirp
ĉisupre	above
ĉit	hush, shh
ĉitalo	chital, chital deer, spotted deer
ĉiu	each, every
ĉiu ajn	absolutely everyone
ĉiu el nas	(ĉiu el ni) all of us
ĉiu el ni	all of us
ĉiu[1]	all the
ĉiudirekte	in all directions
ĉiuebla	every possible, all possible
ĉiuflanke	on every side
ĉiufoja	invariable
ĉiufoje	each time, every time
ĉiuhoma	universal (of all people)
ĉiuhore	every hour, hourly
ĉiuj	all
ĉiujara	annual, yearly
ĉiujare	every year, each year, annually, yearly
ĉiukaze	in any case
ĉiulaboraĉfaranto	bottle washer
ĉiulanda	international, of every country
ĉiulandano	citizen of all nations, world citizen
ĉiulande	internationally
ĉiuliteraĵo	pangram
ĉiuloke	everywhere
ĉiumaniere	in all ways
ĉiumatene	every morning
ĉiuminute	every minute
ĉiumomente	any time, momentarily
ĉiumonate	every month, monthly
ĉiun duan tagon	every other day
ĉiunokta	nightly
ĉiunokte	every night
ĉiuokaze	in any event
ĉiuparte	everywhere
ĉiupaŝe	at every step, with every step
ĉiurilate	in all respects, in every respect, in every way
ĉiuriska asekuro	comprehensive insurance
ĉiusemajna	hebdomadary
ĉiusemajne	weekly
ĉiusense	in every sense
ĉiusezona	perennial
ĉiusezone	perennially
ĉiusomere	every summer
ĉiuspeca	all sorts, all sorts of, miscellaneous, of all sorts
ĉiuspecaj	of all kinds
ĉiuspeco	all kinds, all manner
ĉiutaga	daily / everyday
ĉiutaga pano	daily bread
ĉiutaga savkopio	daily backup
ĉiutaga sekurkopio	daily backup
ĉiutaga vivo	everyday life
ĉiutagaĵoj	everyday things, everyday affairs
ĉiutage	daily / everyday
ĉiuterena	all-terrain
ĉiuvespera	taking place every evening
ĉiuvespere	every evening
ĉiuvoĉa	unanimous
ĉiuvoĉe	unanimously
ĉizi	to carve, chisel
ĉizileto	mini-chisel
ĉizilo	chisel
ĉizoj	shears
ĉizojo	clippers, nippers, shears
ĉiĉeroni	to guide
ĉiĉerono	cicerone, tour guide, docent
ĉjio	qì (Chinese life force)
ĉjo-knabino	tomboy, masculine lesbian, butch girl, boy dyke, butch woman
ĉo	name of the letter Ĉ
ĉokolada	chocolate
ĉokoladbriketo	bar of chocolate
ĉokoladkovrita pufkuko	chocolate @clair / chocolate éclair
ĉokoladlakto	chocolate milk
ĉokolado	chocolate
ĉokoladostangeto	chocolate bar
ĉonmago	chonmage
ĉopsuo	chop suey
ĉoto	bullhead, sculpin
ĉu	either, if, is it, whether
ĉu ... aŭ	whether ... or
ĉu ... ĉu	whether ... or, whether ... whether
ĉu aŭ ne danĝere	dangerous or not
ĉu bone aŭ malbone	for better or for worse
ĉu ne	isn't it, isn't that so, or not
ĉukkrajono	clutch pencil, pencil with chuck mechanism, leadholder, mechanical pencil
ĉuko	chuck, mandrel
ĉukĉo	Chukchi man
ĉurado	cumming, ejaculating
ĉurasko	churrasco
ĉuri	to cum, ejaculate
ĉuro	sperm / cum, semen, ejaculate
ĉurovo	nut, testicle, ball
ĉurovoj	balls
ĉusigno	question mark
ĉuvaŝa	Chuvash
ĉuvaŝo	Chuvash
Ĝakarto	Djakarta, Jakarta
Ĝardenurbo	Garden City
Ĝavaskripto	JavaScript
Ĝavo	Java
Ĝavointerpretilo	Java Runtime Environment
Ĝavoprocezilo	Java Runtime Environment
Ĝavoskripto	Javascript
Ĝavotraktilo	Java virtual machine
Ĝemeloj	Gemini
Ĝemelturoj	Twin Towers (New York’s former World Trade Center)
Ĝenerala Publika Permesilo	General Public License
Ĝeneralaj Ŝtatoj	States General
Ĝenevo	Geneva
Ĝengis	Gengis
Ĝenova Golfo	Gulf of Genoa
Ĝenovo	Genoa
Ĝeraldo	Gerald
Ĝermanio	Germania
Ĝermanujo	Germania
Ĝibraltaro	Gibraltar
Ĝibutio	Djibouti
Ĝingiso	Genghis
Ĝinĝis	Genghis
Ĝirafo	Camelopardalis (constellation); giraffe
Ĝon	John
Ĝoĉia apanaĝo	Jöchi ulus, Juchi ulus
Ĝoĉio	Jöchi, Juchi
ĝainismo	Jainism
ĝaino	Jain, Jaina
ĝajnismo	Jainism
ĝajno	Jaina
ĝangalo	jungle
ĝardena	(having to do with a) garden, gardening
ĝardena kosmoso	garden cosmos, Mexican aster
ĝardenbrasiko	cabbage
ĝardenestro	head gardener
ĝardeneto	little garden
ĝardenilaro	garden equipment, garden tools
ĝardenisto	gardener
ĝardenkoboldo	garden gnome
ĝardenkulturo	horticulture
ĝardenlaborado	gardening
ĝardeno	garden
ĝardenumado	gardening
ĝartero	garter belt
ĝazbando	jazz band, jazz ensemble
ĝazo	jazz
ĝelateno	jelly
ĝelo	gel
ĝemadi	to moan, groan
ĝemado	groaning, moaning
ĝeme	while groaning
ĝemegi	to wail
ĝemela	twin
ĝemelduo	twins
ĝemelmetodo	buddy system
ĝemelo	twin; Gemini
ĝemeloj	twins
ĝemelurbo	twin city, sister city
ĝemelurboj	sister cities, twin cities, friendship cities
ĝemi	to groan, moan
ĝemo	groan, moan; gem
ĝena	nasty, troublesome
ĝenadi	to harass
ĝenado	harassment, hassling
ĝenata	bothered
ĝenateco	bother
ĝenaĵo	inconvenience, trouble / annoyance
ĝendarmo	constable, gendarme, patrolman
ĝene	inconveniently, troublingly
ĝeneco	bashfulness
ĝenega	burdensome
ĝenerala	general, usual / general, generic, usual, rife, prevalent, widespread
ĝenerala adresaro	global address list
ĝenerala atributo	global attribute
ĝenerala breto	standard bar
ĝenerala katalogo	global catalog
ĝenerala moviĝeblo	global roaming
ĝenerala serĉo	global search
ĝenerala termo	general term
ĝenerala ŝablono	global template
ĝeneralaj ŝtatoj	States General
ĝeneralaĵo	generality
ĝeneralcela komputilo	general purpose computer
ĝenerale	generally
ĝenerale akceptita	accepted
ĝeneraleco	generality, universality
ĝeneraligi	to generalize / generalise
ĝeneraligita funkcio	distribution, generalized function
ĝeneraligo	generalization
ĝeneva Lago	Lake of Geneva
ĝenevo	Geneva
ĝeni	bother, disturb, hinder, trouble
ĝeni sin	be ashamed / to go to the bother of, go to the trouble of
ĝeno	nuisance, inconvenience, trouble
ĝenova Golfo	Gulf of Genoa
ĝenovo	Genoa
ĝenro	genre
ĝentila	courteous, polite, well-mannered / polite, gentle, civil, courteous, well-mannered, polished, refined
ĝentilaj manieroj	good manners
ĝentilaĵo	courtesy
ĝentile	gently, politely
ĝentileco	civility, courtesy, politeness
ĝentilhomeca	gentlemanlike, ladylike
ĝentilhomo	gentleman
ĝentilhomoj	gentlemen
ĝentlemaneca	gentlemanlike
ĝentlemanineca	ladylike
ĝentlemanino	lady
ĝentlemaninoj	ladies
ĝentlemano	gentleman
ĝenulo	pain in the ass, pest, nuisance
ĝerboso	jerboa
ĝermana	Germanic, Teutonic
ĝermanaj lingvoj	Germanic languages
ĝermanismo	Germanism
ĝermanistiko	Germanistic, German Studies
ĝermanisto	Germanist, student of German Studies
ĝermano	German, Teuton
ĝermeto	gamete
ĝermi	germinate
ĝermo	germ
ĝermoi	to germinate
ĝeto	jetty, protecting mole, pier
ĝi	it
ĝi estas por mi volapukaĵo	it’s all Greek to me
ĝia	its
ĝia la nuna tempo	until the present time, up until now
ĝia la supraĵo	to the top, to the peak
ĝiaflanke	on its side
ĝiasone	at its sound
ĝiavoje	on its way
ĝiba	gibbous, hunch-backed
ĝibaĵo	hump, bump
ĝibeto	bump
ĝibhava	hunch-backed
ĝibigi	to arch, stoop, hunch one’s back
ĝibo	bump, hump
ĝibobovo	zebù
ĝibraltara	Gibraltarian
ĝibraltaranino	Gibraltarian (fem.)
ĝibraltaraninoj	Gibraltarians (fem.)
ĝibraltarano	Gibraltarian
ĝibraltaranoj	Gibraltarians
ĝibraltaro	Gibraltar
ĝibulo	humpback, hunchback
ĝibutianino	Djiboutian (fem.)
ĝibutianinoj	Djiboutians (fem.)
ĝibutiano	Djiboutian
ĝibutianoj	Djiboutians
ĝibutio	Djibouti, Jibuti
ĝigo	jig
ĝigolo	gigolo
ĝihado	jihad
ĝimkano	gimkana, gincana
ĝin	it
ĝinfizo	Gin Fizz
ĝinismo	Jainism
ĝino	gin (drink)
ĝinzo	jeans
ĝirafedoj	Giraffidae
ĝirafido	baby giraffe
ĝirafo	giraffe
ĝiraforeloj	rabbit ears, giraffe ears
ĝiranto	endorser
ĝirato	endorsee
